OUTPUT,iso3c,group,source,unit,Comment,Org,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
NGA_OTHA_QP..MAR,NGA,OTHA,Aquaculture,QP,"NGA_OTHA_QP..MAR = OVERLAY(NGA_OTHA_QP..MAR..HIS,NGA_OTHA_QP)",Scalar TS,Numeric,0,0,0,0,0,0,0.04,0.12,0.09,0.0714051,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NOR_FHA_QP..MAR,NOR,FHA,Aquaculture,QP,NOR_FHA_QP..MAR = NOR_OTHA_QP..MAR+NOR_SALA_QP..MAR,Scalar TS,Numeric,1019.714,1143.82,1321.034,1247.762,1332.422,1380.753,1326.079,1308.388,1354.813,1388.61565,1401.5,1398.49993,1399.499808,1417.499894,1450.50011,1420.498452,1455.497936,1490.498382,1531.498744,1545.499189,1556.499513
NOR_FHC_QP..MAR,NOR,FHC,Capture,QP,"NOR_FHC_QP..MAR = OVERLAY(NOR_FHC_QP..MAR..HIS,NOR_FHC_QP*(TRND*0+1*FHCQPADJ))",Scalar TS,Numeric,2679.481,2281.856,2149.802,2079.004,2301.376,2293.462,2033.425,2378.087,2488.67,2350,2400,2376,2376,2400,2400,2400,2400,2400,2395.2,2390.4,2385.6
NOR_OTHA_QP..MAR,NOR,OTHA,Aquaculture,QP,"NOR_OTHA_QP..MAR = OVERLAY(NOR_OTHA_QP..MAR..HIS,NOR_OTHA_QP)",Scalar TS,Numeric,25.107,20.204,14.047,7.709,4.871,4.227,4.352,4.791,4.306,4.51565,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
NOR_SALA_QP..MAR,NOR,SALA,Aquaculture,QP,"NOR_SALA_QP..MAR = OVERLAY(NOR_SALA_QP..MAR..HIS,NOR_SALA_QP*(TRND*0+1))",Scalar TS,Numeric,994.607,1123.616,1306.987,1240.053,1327.551,1376.526,1321.727,1303.597,1350.507,1384.1,1397,1393.99993,1394.999808,1412.999894,1446.00011,1415.998452,1450.997936,1485.998382,1526.998744,1540.999189,1551.999513
NZL_FHA_QP..MAR,NZL,FHA,Aquaculture,QP,NZL_FHA_QP..MAR = NZL_OTHA_QP..MAR+NZL_SALA_QP..MAR+NZL_MLCA_QP,Scalar TS,Numeric,109.967,116.591,98.958,96.55,108.79,89.608,107.524,114.874,102.597,102.008,106.3358119,110.8992537,115.0885779,118.5477616,121.0609507,122.8335392,124.7048911,126.6172566,127.6942142,128.5317941,129.391337
NZL_FHC_QP..MAR,NZL,FHC,Capture,QP,"NZL_FHC_QP..MAR = OVERLAY(NZL_FHC_QP..MAR..HIS,NZL_FHC_
QP*(TRND*0+0.998*FHCQPADJ))",Scalar TS,Numeric,435.293,428.847,439.609,441.378,441.171,431.828,422.316,428.113,406.068,424.15,424.15,419.16,424.15,424.15,424.15,424.15,419.16,424.15,423.3017,422.4534,421.6051
NZL_MLCA_QP,NZL,MLCA,Aquaculture,QP,,Scalar TS,Numeric,97.607,103.115,87.663,85.058,98.947,78.72,95.983,101.55,88.168,87.35,90.37219942,93.5413296,96.5152037,98.73320287,100.061644,100.8113814,101.6262357,102.5980553,102.8732694,103.2162977,103.6850688
NZL_OTHA_QP..MAR,NZL,OTHA,Aquaculture,QP,"NZL_OTHA_QP..MAR = OVERLAY(NZL_OTHA_QP..MAR..HIS,NZL_OTHA_QP)",Scalar TS,Numeric,0.08,0.114,0.101,0.077,0.087,0.081,0.09,0.09,0.09,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
NZL_SALA_QP..MAR,NZL,SALA,Aquaculture,QP,"NZL_SALA_QP..MAR = OVERLAY(NZL_SALA_QP..MAR..HIS,NZL_SALA_QP*(TRND*0+0.88))",Scalar TS,Numeric,12.28,13.362,11.194,11.415,9.756,10.807,11.451,13.234,14.339,14.608,15.91361246,17.30792409,18.52337419,19.76455878,20.9493067,21.97215778,23.02865544,23.96920131,24.77094478,25.26549648,25.65626826
OCE_FHA_QP..MAR,OCE,FHA,Aquaculture,QP,"OCE_FHA_QP..MAR = OVERLAY(OCE_FHA_QP..MAR..HIS,0.46*OCE_FHA_QP)",Scalar TS,Numeric,1.427,1.74,1.894,1.813,1.903,1.506,1.843,1.728,1.876,1.875531653,1.886,1.932,1.978,2.024,2.07,2.116,2.162,2.208,2.254,2.3,2.346
OCE_FHC_QP..MAR,OCE,FHC,Capture,QP,"OCE_FHC_QP..MAR = OVERLAY(OCE_FHC_QP..MAR..HIS,OCE_FHC_
QP*(TRND*0+0.977*FHCQPADJ))",Scalar TS,Numeric,587.253,561.843,654.431,588.829,720.788,768.813,817.647,800.556,804.56,784.7917197,786.7353191,790.5707778,795.4196117,799.3862604,805.3594243,809.6633997,813.6581038,810.4968256,803.7328811,795.4061062,785.7577367
PAK_FHA_QP..MAR,PAK,FHA,Aquaculture,QP,"PAK_OTHA_QP..MAR = OVERLAY(PAK_OTHA_QP..MAR..HIS,PAK_OTHA_QP*0.04)",Scalar TS,Numeric,0.101,0.105,0.108,0.112,0.115,0.119,0.125,0.129,0.131,0.1249752,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144
PAK_FHC_QP..MAR,PAK,FHC,Capture,QP,"PAK_FHC_QP..MAR = OVERLAY(PAK_FHC_QP..MAR..HIS,PAK_FHC_
QP*(TRND*0+0.739*FHCQPADJ))",Scalar TS,Numeric,340.166,336.25,355.955,361.491,351.888,377.023,379.466,397.711,363.578,359.6661291,369.5,365.805,369.5,369.5,369.5,369.5,365.805,369.5,368.761,368.022,367.283
PAK_OTHA_QP..MAR,PAK,OTHA,Aquaculture,QP,"PAK_OTHA_QP..MAR = OVERLAY(PAK_OTHA_QP..MAR..HIS,PAK_OTHA_QP*0.04)",Scalar TS,Numeric,0.101,0.105,0.108,0.112,0.115,0.119,0.125,0.129,0.131,0.1249752,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144
PER_FHA_QP..MAR,PER,FHA,Aquaculture,QP,PER_FHA_QP..MAR = PER_OTHA_QP..MAR+PER_SALA_QP..MAR+PER_MLCA_QP+PER_SHPA_QP..MAR,Scalar TS,Numeric,71.701,68.592,42.584,85.581,76.586,45.217,41.419,39.425,42.199,43.7,42.78141005,46.85705903,48.63283823,49.4339615,50.23696538,50.85151969,53.12201425,51.99848258,50.02156714,48.8395184,48.13779928
PER_FHC_QP..MAR,PER,FHC,Capture,QP,"PER_FHC_QP..MAR = OVERLAY(PER_FHC_QP..MAR..HIS,PER_FHC_
QP*(TRND*0+0.995*FHCQPADJ))",Scalar TS,Numeric,4257.239,8212.369,4815.609,5827.045,3548.688,4786.551,3774.887,4128.76,7150.34,4328.25,5170.18915,3879.704,5047.62505,4975.08955,4994.96965,4903.6983,3776.65185,5097.61385,5084.151619,5052.041576,5001.386246
PER_MLCA_QP,PER,MLCA,Aquaculture,QP,,Scalar TS,Numeric,58.101,52.213,24.7817,67.6944,55.0962,23.02913,20.97499,11.92698,12.47703,12.7,12.24820698,14.26357155,16.76513251,18.02167911,18.94312781,19.69936494,20.22984245,21.53653485,20.84374018,20.31315196,19.95176628
PER_OTHA_QP..MAR,PER,OTHA,Aquaculture,QP,"PER_OTHA_QP..MAR = OVERLAY(PER_OTHA_QP..MAR..HIS,PER_OTHA_QP*0)",Scalar TS,Numeric,0.002,0,0.0013,0.0036,0.0058,0.00487,0.00301,0.00602,0.00497,0,0,0,0,0,0,0,0,0,0,0,0
PER_SALA_QP..MAR,PER,SALA,Aquaculture,QP,PER_SALA_QP..MAR = TRND*0,Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PER_SHPA_QP..MAR,PER,SHPA,Aquaculture,QP,"PER_SHPA_QP..MAR = OVERLAY(PER_SHPA_QP..MAR..HIS,PER_SHPA_QP*(TRND*0+1))",Scalar TS,Numeric,13.598,16.379,17.801,17.883,21.484,22.183,20.441,27.492,29.717,31,30.53320307,32.59348749,31.86770572,31.41228239,31.29383757,31.15215475,32.8921718,30.46194773,29.17782695,28.52636644,28.186033
PHL_CBA_QP,PHL,CBA,Aquaculture,QP,,Scalar TS,Numeric,14.438,15.731,16.36,15.794,16.16,16.199,16.8595,18.1,20.7699,21.7,21.73891506,22.48911577,23.23857281,23.81007745,24.48151624,24.94358581,25.21562941,25.03226135,24.93759494,24.94422935,24.97312875
PHL_FHA_QP..MAR,PHL,FHA,Aquaculture,QP,"PHL_FHA_QP..MAR = PHL_OTHA_QP..MAR+PHL_SHPA_QP..MAR+PHL_CBA_QP+PHL_MKFA_
QP..MAR+PHL_MLCA_QP",Scalar TS,Numeric,426.353,450.309,471.13,485.75,475.181,464.927,483.61002,494.2364,490.5498,498.8396229,532.0190298,540.3524894,537.6950878,535.3189789,536.8236809,537.250714,537.3901618,535.3746586,535.0750311,538.305905,543.678402
PHL_FHC_QP..MAR,PHL,FHC,Capture,QP,"PHL_FHC_QP..MAR = OVERLAY(PHL_FHC_QP..MAR..HIS,PHL_FHC_
QP*(TRND*0+0.914*FHCQPADJ))",Scalar TS,Numeric,2314.784,2026.252,2007.933,1998.285,2032.763,1948.101,1865.213,1724.515,1886.599,1970.106758,1987.095699,2016.44929,2042.550341,2064.063669,2084.941804,2101.541886,2115.85949,2120.378872,2117.033249,2110.755376,2102.003823
PHL_MKFA_QP..MAR,PHL,MKFA,Aquaculture,QP,"PHL_MKFA_QP..MAR = OVERLAY(PHL_MKFA_QP..MAR..HIS,PHL_MKFA_QP*(TRND*0+0.89))",Scalar TS,Numeric,306.643,330.329,345.205,358.886,353.338,345.637,361.199,365.198,347.923,353.953,359.5601724,367.5701068,369.3501215,366.6800969,366.6801087,364.9001213,363.1201261,360.4501142,360.4501574,364.0101391,369.3501655
PHL_MLCA_QP,PHL,MLCA,Aquaculture,QP,,Scalar TS,Numeric,43.402,43.905,46.308,44.964,41.117,36.21,38.287,42.153,55.011,58,63.96806314,67.98116057,63.32164302,62.17197126,62.07164306,62.48840586,63.10013441,63.49355797,63.37959374,62.97646043,62.76574976
PHL_OTHA_QP..MAR,PHL,OTHA,Aquaculture,QP,"PHL_OTHA_QP..MAR = OVERLAY(PHL_OTHA_QP..MAR..HIS,PHL_OTHA_QP)",Scalar TS,Numeric,5.971,6.003,6.845,6.414,6.119,6.006,5.58252,6.3644,7.2589,7.1866229,7,7,7,7,7,7,7,7,7,7,7
PHL_SHPA_QP..MAR,PHL,SHPA,Aquaculture,QP,"PHL_SHPA_QP..MAR = OVERLAY(PHL_SHPA_QP..MAR..HIS,PHL_SHPA_QP*(TRND*0+1))",Scalar TS,Numeric,55.899,54.341,56.412,59.692,58.447,60.875,61.682,62.421,59.587,58,79.75187913,75.31210627,74.78475042,75.65683335,76.59041294,77.9186011,78.95427185,79.39872507,79.30768503,79.37507616,79.58935803
PRY_FHA_QP..MAR,PRY,FHA,Aquaculture,QP,PRY_FHA_QP..MAR = TRND*0,Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRY_FHC_QP..MAR,PRY,FHC,Capture,QP,PRY_FHC_QP..MAR = TRND*0,Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS_FHA_QP..MAR,RUS,FHA,Aquaculture,QP,RUS_FHA_QP..MAR = RUS_OTHA_QP..MAR+RUS_SALA_QP..MAR+RUS_MLCA_QP,Scalar TS,Numeric,5.65,9.433,9.862,25.124,22.865,13.99,18.921,22.211,30.373,30.84382702,29.65716765,31.8723324,33.84765878,36.64840689,38.27108838,39.80722252,40.76854506,40.7087028,40.79117028,41.03569538,41.43799563
RUS_FHC_QP..MAR,RUS,FHC,Capture,QP,"RUS_FHC_QP..MAR = OVERLAY(RUS_FHC_QP..MAR..HIS,RUS_FHC_
QP*(TRND*0+0.94*FHCQPADJ))",Scalar TS,Numeric,3806.896,4005.737,4068.85,4098.644,4004.242,4172.073,4466.502,4594.015,4839.916,4765.8,4813.458,4812.988,4861.116,4959.346,5008.884,5058.986,5109.558,5160.694,5201.8754,5243.318496,5285.113904
RUS_MLCA_QP,RUS,MLCA,Aquaculture,QP,,Scalar TS,Numeric,0.877,0.788,0.889,2.329,3.255,2.243,4.379,7.159,7.24,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
RUS_OTHA_QP..MAR,RUS,OTHA,Aquaculture,QP,"RUS_OTHA_QP..MAR = OVERLAY(RUS_OTHA_QP..MAR..HIS,RUS_OTHA_QP*0.24)",Scalar TS,Numeric,0.074,0.145,0.219,0.245,0.82,0.808,1.685,2.036,2.473,2.863827024,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88
RUS_SALA_QP..MAR,RUS,SALA,Aquaculture,QP,"RUS_SALA_QP..MAR = OVERLAY(RUS_SALA_QP..MAR..HIS,RUS_SALA_QP*(TRND*0+0.32))",Scalar TS,Numeric,4.699,8.5,8.754,22.55,18.79,10.939,12.857,13.016,20.66,20.48,19.27716765,21.4923324,23.46765878,26.26840689,27.89108838,29.42722252,30.38854506,30.3287028,30.41117028,30.65569538,31.05799563
SAC_FHA_QP..MAR,SAC,FHA,Aquaculture,QP,SAC_FHA_QP..MAR = SAC_OTHA_QP..MAR+SAC_SHPA_QP..MAR,Scalar TS,Numeric,308.772,360.793,391.858,420.27,467.017,505.279,524.294,560.668,635.665,690.1416502,725.5542387,727.3147702,738.9778595,752.7328504,766.5359505,780.3871038,794.286257,808.2333643,822.2286931,836.2719125,839.9627478
SAC_FHC_QP..MAR,SAC,FHC,Capture,QP,"SAC_FHC_QP..MAR = OVERLAY(SAC_FHC_QP..MAR..HIS,SAC_FHC_
QP*(TRND*0+0.965*FHCQPADJ))",Scalar TS,Numeric,1775.808,1734.443,1593.805,1471.469,1727.98,1688.34,1782.278,1767.485,1781.849,1816.372734,1763.393713,1732.900324,1765.004603,1765.810047,1766.615492,1767.420936,1736.927547,1769.031826,1766.297596,1763.560144,1760.81947
SAC_OTHA_QP..MAR,SAC,OTHA,Aquaculture,QP,"SAC_OTHA_QP..MAR = OVERLAY(SAC_OTHA_QP..MAR..HIS,SAC_OTHA_QP*0.33)",Scalar TS,Numeric,2.946,2.821,2.663,3.441,3.753,3.794,4.274,4.861,4.796,5.141650206,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
SAC_SHPA_QP..MAR,SAC,SHPA,Aquaculture,QP,"SAC_SHPA_QP..MAR = OVERLAY(SAC_SHPA_QP..MAR..HIS,SAC_SHPA_QP*(TRND*0+1))",Scalar TS,Numeric,305.826,357.972,389.195,416.829,463.264,501.485,520.02,555.807,630.869,685,724.8942387,726.6547702,738.3178595,752.0728504,765.8759505,779.7271038,793.626257,807.5733643,821.5686931,835.6119125,839.3027478
SAU_DEMA_QP,SAU,DEMA,Aquaculture,QP,,Scalar TS,Numeric,1.958,2.138,2.352,2.56,1.935,3.251,2.41,2.42,2.52,3.064,3.148,3.253,3.358,3.463,3.568,3.673,3.778,3.883,3.988,4.093,4.198
SAU_FHA_QP..MAR,SAU,FHA,Aquaculture,QP,SAU_FHA_QP..MAR = SAU_OTHA_QP..MAR+SAU_SHPA_QP..MAR+SAU_DEMA_QP,Scalar TS,Numeric,22.692,11.327,7.517,3.416,17.589,24.571,32.15,47.22,64.22,78.11818182,80.27997723,82.95596058,85.63199314,88.30800251,90.9840122,93.66000473,96.33600006,99.01195681,101.6879853,104.3639852,107.0399958
SAU_FHC_QP..MAR,SAU,FHC,Capture,QP,"SAU_FHC_QP..MAR = OVERLAY(SAU_FHC_QP..MAR..HIS,SAU_FHC_QP*(TRND*0+1*FHCQPADJ))",Scalar TS,Numeric,65.145,64.481,65.17,71.946,68.66,68.13,68.082,68,68.776,68.9,69,69,69,69,69,69,69,69,68.862,68.724,68.586
SAU_OTHA_QP..MAR,SAU,OTHA,Aquaculture,QP,"SAU_OTHA_QP..MAR = OVERLAY(SAU_OTHA_QP..MAR..HIS,SAU_OTHA_QP)",Scalar TS,Numeric,0.082,0.131,0.145,0.196,2.674,4.025,5.685,5.6,5.6,6.83618182,7.045,7.28,7.515,7.75,7.985,8.219,8.454,8.689,8.924,9.158,9.393
SAU_SHPA_QP..MAR,SAU,SHPA,Aquaculture,QP,"SAU_SHPA_QP..MAR = OVERLAY(SAU_SHPA_QP..MAR..HIS,SAU_SHPA_QP*(TRND*0+1))",Scalar TS,Numeric,20.652,9.058,5.02,0.66,12.98,17.295,24.055,39.2,56.1,68.218,70.08697723,72.42296058,74.75899314,77.09500251,79.4310122,81.76800473,84.10400006,86.43995681,88.77598532,91.11298524,93.44899579
THA_FHA_QP..MAR,THA,FHA,Aquaculture,QP,"THA_FHA_QP..MAR = THA_SHPA_QP..MAR+THA_MLCA_QP+THA_OFWDA_QP..MAR+THA_OTHA_
QP..MAR",Scalar TS,Numeric,853.744,817.104,817.846,561.752,482.741,508.795,544.65,480.711,478.58,475.6530223,490.3521653,504.7824299,521.9449966,546.726648,568.9253836,601.89736,630.1545954,669.1951427,701.871955,727.3565614,754.9005176
THA_FHC_QP..MAR,THA,FHC,Capture,QP,"THA_FHC_QP..MAR = OVERLAY(THA_FHC_QP..MAR..HIS,THA_FHC_
QP*(TRND*0+0.88*FHCQPADJ))",Scalar TS,Numeric,1601.32,1610.418,1500.2,1614.536,1488.28,1317.269,1343.244,1307.824,1510.936,1369.28,1372.8,1372.8,1372.8,1372.8,1372.8,1372.8,1372.8,1372.8,1370.0544,1367.3088,1364.5632
THA_MLCA_QP,THA,MLCA,Aquaculture,QP,,Scalar TS,Numeric,270.633,186.734,185.865,216.841,183.57086,194.407,197.203,98.258,93.076,88.8,87,87.00002992,86.9999616,86.99996872,86.99999279,87.00001019,87.00002523,87.00003456,87.00000881,87.00002448,87.00005367
THA_OFWDA_QP..MAR,THA,OFWDA,Aquaculture,QP,"THA_OFWDA_QP..MAR = OVERLAY(THA_OFWDA_QP..MAR..HIS,THA_OFWDA_
QP*(TRND*0.005836-0.165891))",Scalar TS,Numeric,13.434,16.157,19.317,16.761,16.502,17.25,17.61,20.454,20.485,21.2660301,24.35042834,26.43066364,28.39371792,30.37598056,32.62453018,34.24645861,35.90363826,36.94438574,37.32103935,37.1559813,37.15030813
THA_OTHA_QP..MAR,THA,OTHA,Aquaculture,QP,"THA_OTHA_QP..MAR = OVERLAY(THA_OTHA_QP..MAR..HIS,THA_OTHA_QP*0.37)",Scalar TS,Numeric,2.881,3.019,3.112,2.755,2.76114,2.398,2.276,2.302,2.109,1.736992195,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85
THA_SHPA_QP..MAR,THA,SHPA,Aquaculture,QP,"THA_SHPA_QP..MAR = OVERLAY(THA_SHPA_QP..MAR..HIS,THA_SHPA_QP*(TRND*0+0.95))",Scalar TS,Numeric,566.796,611.194,609.552,325.395,279.907,294.74,327.561,359.697,362.91,363.85,377.151737,389.5017363,404.7013171,427.5006987,447.4508606,478.8008912,505.4009319,543.4007224,575.7009069,601.3505556,628.9001558
TUR_DEMA_QP,TUR,DEMA,Aquaculture,QP,,Scalar TS,Numeric,78.953,79.2,97.619,105.1889,120.148,130.294,141.915,162.249,195.282,221,223.999996,227.0006874,223.0004912,229.0003997,237.9999696,245.0001167,252.9998579,260.0001056,269.9997676,277.9997142,283.9998307
TUR_FHA_QP..MAR,TUR,FHA,Aquaculture,QP,TUR_FHA_QP..MAR = TUR_SALA_QP..MAR+TUR_DEMA_QP+TUR_OTHA_QP..MAR,Scalar TS,Numeric,89.153,88.444,101.248,110.845,126.063,137.509,148.73,169.467,206.514,229.4977577,232.739996,235.8006966,231.6804999,237.9204075,247.219967,254.4601193,262.6998558,269.9401102,280.2397481,288.5397111,294.7798268
TUR_FHC_QP..MAR,TUR,FHC,Capture,QP,"TUR_FHC_QP..MAR = OVERLAY(TUR_FHC_QP..MAR..HIS,TUR_FHC_
QP*(TRND*0+0.91*FHCQPADJ))",Scalar TS,Numeric,445.666,477.666,396.323,339.053,266.08,397.733,301.47,322.175,283.956,273,268.45,263.9,259.35,254.8,250.25,245.7,241.15,236.6,231.5859,226.59,221.6123
TUR_OTHA_QP..MAR,TUR,OTHA,Aquaculture,QP,"TUR_OTHA_QP..MAR = OVERLAY(TUR_OTHA_QP..MAR..HIS,TUR_OTHA_QP*0.8)",Scalar TS,Numeric,3.121,1.547,0.395,0.4701,0.305,0.343,1.099,1.266,1.622,1.32775768,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36
TUR_SALA_QP..MAR,TUR,SALA,Aquaculture,QP,"TUR_SALA_QP..MAR = OVERLAY(TUR_SALA_QP..MAR..HIS,TUR_SALA_QP*(TRND*0+0.06))",Scalar TS,Numeric,7.079,7.697,3.234,5.186,5.61,6.872,5.716,5.952,9.61,7.17,7.379999978,7.440009258,7.320008724,7.560007826,7.85999732,8.100002601,8.339997863,8.580004513,8.879980551,9.179996888,9.419996097
UKR_FHA_QP..MAR,UKR,FHA,Aquaculture,QP,"UKR_FHA_QP..MAR = OVERLAY(UKR_FHA_QP..MAR..HIS,0*UKR_FHA_QP)",Scalar TS,Numeric,0.249,0.478,0.67,0.997,0.987,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UKR_FHC_QP..MAR,UKR,FHC,Capture,QP,"UKR_FHC_QP..MAR = OVERLAY(UKR_FHC_QP..MAR..HIS,UKR_FHC_QP*(TRND*0+0.6*FHCQPADJ))",Scalar TS,Numeric,205.166,173.753,149.044,175.613,122.646,100.287,52.064,67.414,46.427,48,57,57,57,57,57,57,57,57,56.886,56.772,56.658
USA_FHA_QP..MAR,USA,FHA,Aquaculture,QP,USA_FHA_QP..MAR = USA_SALA_QP..MAR+USA_OTHA_QP..MAR+USA_MLCA_QP,Scalar TS,Numeric,196.053,155.958,191.201,183.348,183.892,182.54,193.896,190.225,199.3,208.3356922,208.2844443,212.4222369,217.6131597,222.8333208,227.2219644,231.4883772,234.4137993,236.1087204,235.2637284,233.9683239,232.6116026
USA_FHC_QP..MAR,USA,FHC,Capture,QP,"USA_FHC_QP..MAR = OVERLAY(USA_FHC_QP..MAR..HIS,USA_FHC_
QP*(TRND*0+0.996*FHCQPADJ))",Scalar TS,Numeric,4288.615,5151.516,4982.462,5068.852,4961.595,5019.984,4880.022,5017.376,4721.981,4780.8,4800.72,4820.64,4840.56,4860.48,4880.4,4900.32,4920.24,4940.16,4950.15984,4960.08,4950.12
USA_MLCA_QP,USA,MLCA,Aquaculture,QP,,Scalar TS,Numeric,173.635,133.877,168.329,160.458,160.464,159.516,174.035,171.864,180.444,187.87,188.2284399,192.0380167,196.5358082,201.0106149,204.7344068,208.4917661,211.1044647,212.853425,212.4264154,211.7472071,211.0401367
USA_OTHA_QP..MAR,USA,OTHA,Aquaculture,QP,"USA_OTHA_QP..MAR = OVERLAY(USA_OTHA_QP..MAR..HIS,USA_OTHA_QP*0.9)",Scalar TS,Numeric,2.883,3.486,3.577,4.024,4.709,4.305,3.676,3.676,2.749,4.39834266,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05
USA_SALA_QP..MAR,USA,SALA,Aquaculture,QP,"USA_SALA_QP..MAR = OVERLAY(USA_SALA_QP..MAR..HIS,USA_SALA_
QP*(1.385-0.0197*(49+(TRND-49)/2)))",Scalar TS,Numeric,19.535,18.595,19.295,18.866,18.719,18.719,16.185,14.685,16.107,16.06734955,16.00600434,16.33422012,17.02735151,17.7727059,18.43755766,18.9466111,19.25933456,19.20529545,18.78731299,18.17111683,17.52146586
VNM_CBA_QP,VNM,CBA,Aquaculture,QP,,Scalar TS,Numeric,12.5,12.5,13,13,49.14,54.58756,64.63318,65.46265,36,63.7,64.00000848,64.9999136,65.99997003,66.99997935,68.00001065,69.00003521,70.00005245,71.00004455,72.0000562,73.00004189,74.00004966
VNM_FHA_QP..MAR,VNM,FHA,Aquaculture,QP,"VNM_FHA_QP..MAR = VNM_OTHA_QP..MAR+VNM_SHPA_QP..MAR+VNM_MLCA_QP+VNM_OMAA_QP+VNM_
CBA_QP",Scalar TS,Numeric,531.38,627.742,606.68,720.645,931.314,923.92733,990.37185,1079.3359,1132.15,1253.08088,1295.929289,1299.929425,1360.540333,1389.437483,1418.492162,1428.243672,1465.399983,1479.716156,1498.182362,1520.747106,1541.851951
VNM_FHC_QP..MAR,VNM,FHC,Capture,QP,"VNM_FHC_QP..MAR = OVERLAY(VNM_FHC_QP..MAR..HIS,VNM_FHC_
QP*(TRND*0+0.95*FHCQPADJ))",Scalar TS,Numeric,2067.056,2232.276,2360.311,2464.417,2577.188,2713.756,2929.043,3153.933,3190.749,3198.005508,3214.800057,3216.699748,3239.499898,3262.29986,3284.149993,3301.250117,3322.150251,3344.000245,3364.807235,3380.77286,3404.201821
VNM_MLCA_QP,VNM,MLCA,Aquaculture,QP,,Scalar TS,Numeric,107.426,124.8,144.031,191.47,198.881,242.57998,272.9529,284.96553,300.5,328,340.5159945,318.8652171,316.4052621,319.6642171,323.3371724,327.8015113,332.7555243,336.9464083,340.299458,343.7387919,347.7198214
VNM_OMAA_QP,VNM,OMAA,Aquaculture,QP,,Scalar TS,Numeric,77.904,134.137,105.766,77.097,73.036,9.31495,10.41844,11.55326,12,12,14.41324737,16.06422477,17.13599782,17.77371426,18.15515955,18.44214142,18.64444496,18.76965217,18.88275888,19.00817209,19.13198152
VNM_OTHA_QP..MAR,VNM,OTHA,Aquaculture,QP,"VNM_OTHA_QP..MAR = OVERLAY(VNM_OTHA_QP..MAR..HIS,VNM_OTHA_QP)",Scalar TS,Numeric,4.425,4.691,15.852,6.455,8.877,7.85184,8.93933,8.95046,8.65,9.38088,9,9,9,9,9,9,9,9,9,9,9
VNM_SHPA_QP..MAR,VNM,SHPA,Aquaculture,QP,"VNM_SHPA_QP..MAR = OVERLAY(VNM_SHPA_QP..MAR..HIS,VNM_SHPA_QP*(TRND*0+1))",Scalar TS,Numeric,329.125,351.614,328.031,432.623,601.38,609.593,633.428,708.404,775,840,868.0000383,891.0000698,951.9991033,975.9995726,999.9998198,1003.999984,1034.999962,1044.000051,1058.000089,1076.0001,1092.000098
ZAF_FHA_QP..MAR,ZAF,FHA,Aquaculture,QP,"ZAF_FHA_QP..MAR = OVERLAY(ZAF_FHA_QP..MAR..HIS,0.68*ZAF_FHA_QP)",Scalar TS,Numeric,1.991,1.883,2.261,2.986,3.417,3.591,3.717,3.792,4.199,4.58215557,4.76,4.93,5.1,5.27,5.44,5.61,5.78,5.95,6.12,6.29,6.46
ZAF_FHC_QP..MAR,ZAF,FHC,Capture,QP,"ZAF_FHC_QP..MAR = OVERLAY(ZAF_FHC_QP..MAR..HIS,ZAF_FHC_
QP*(TRND*0+0.998*FHCQPADJ))",Scalar TS,Numeric,627.935,533.123,702.102,417.363,595.14,564.281,611.29,522.682,558.836,581.7604351,534.0952455,556.2182414,592.2879106,589.8671229,583.4898401,588.3861266,590.7485519,589.2295243,581.08869,571.1704919,565.9884939
